fen,score,move
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 b - -,69,f7g7
8/4r3/2R2pk1/6pp/3P4/6P1/5K1P/8 b - -,0,e7a7
6k1/6p1/8/4K3/4NN2/8/8/8 w - -,mate 15,e5e6
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -,26,c1e3
6k1/4Rppp/8/8/8/8/5PPP/6K1 w - -,mate 1,e7e8
6k1/6p1/6N1/4K3/4N3/8/8/8 b - -,mate 27,g8h7
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,15,e2e4
8/8/2N2k2/8/1p2p3/p7/K7/8 b - -,0,e4e3
8/1r6/2R2pk1/6pp/3P4/6P1/5K1P/8 w - -,0,d4d5
1R4k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/5NK1 b - -,-57,g8h7
8/5kp1/6N1/4K3/4N3/8/8/8 w - -,mate 23,e5f5
1k1r1r2/pbp3pp/1p1q1p2/2p2Q2/4P3/1P1PB3/P1P3PP/4RRK1 w - -,8,a2a4
8/3B4/8/p4p1k/5P1p/Pb6/1P4P1/6K1 w - -,676,d7f5
r2qk2r/3n2p1/1pp1p3/3pPpb1/P2P1nBp/1NB4P/1PP2P2/R3QR1K w kq f6,7,e5f6
1R6/3q1ppk/6n1/b2p2Pp/2pP2b1/p1P5/P1B1rPPB/2Q2NK1 b - -,-76,a5c7
3r4/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4 w - -,180,d1e1
1r2kb1r/pBp2ppp/4pn2/5b2/Q1pq4/6P1/PP1NPP1P/R1B2RK1 b k -,257,f6d7
3r4/6k1/2bPR3/pp3p2/2B2P1p/P7/1P3KP1/8 w - -,337,c4a2
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,20,c2c4
r2k2r1/pppb1p1p/2p5/8/3Bn3/8/PPP2PPP/2KR1B1R b - -,140,e4d6
2r1r1k1/5ppp/8/8/Q7/8/5PPP/4R1K1 w - -,mate 2,a4e8
2r1r1k1/3Q1p2/7R/4N1p1/P4n2/1q5P/5PP1/4R1K1 w - -,mate 18,d7f5
8/5p1k/3r2p1/7p/R6P/8/5PPK/8 w - -,0,f2f3
rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq -,15,c6d5
8/4k3/8/4K3/8/4P3/8/8 b - -,mate 16,e7d7
r1b2rk1/pp3ppp/1q2p3/2npP1N1/8/8/PPQ2PPP/R3RBK1 b - -,36,g7g6
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq -,18,e7e5
k1K5/8/8/1P6/8/8/8/8 b - -,mate 16,a8a7
8/8/2B2k2/p4p2/5P1p/Pb6/1P3KP1/8 w - -,564,f2g1
